date,All in QQQ,All in VGT,Top 5,Top 10,Top 15,Top 20,Top 25,Top 50,Top 75
2020-01-02,1000.0,999.9999999999999,1000.0000000000002,1000.0000000000001,1000.0000000000003,999.9999999999999,999.9999999999999,1000.0,1000.0
2020-01-03,990.8400545073536,989.4922312004196,989.9941339042737,990.4356874387856,990.5791034863333,990.353624481448,990.6811916389983,991.0195844898291,991.3699420473074
2020-01-06,997.2242033320424,992.7806235142307,1001.0259243212506,1000.3017561827082,1000.4095854779108,999.2975910188418,998.9719377397694,998.1957995821729,997.9135810375747
2020-01-07,997.085541956774,992.6603540259072,997.6251777085059,996.3538761015496,996.5863456398096,996.069726370868,996.3271084278645,997.3368007223698,997.3584999289632
2020-01-08,2004.5800094486458,2003.1280329960462,2006.9644024774957,2004.5870341457285,2005.1448658603185,2004.2641995489046,2004.0915922782353,2005.479846205526,2005.4581418901687
2020-01-09,2021.5656469320638,2025.632483183115,2034.0218794741918,2026.8818756241903,2025.651113760863,2024.5283464474135,2023.6735559760236,2023.5849953467273,2023.267763546676
2020-01-10,2016.3956784023198,2021.2276843403235,2030.0323103638943,2022.8734469329281,2021.0551847292536,2018.6456210430867,2017.8137793094693,2018.1016011217148,2018.3023425904687
2020-01-13,2039.6587790906121,2048.297170752845,2057.312767636024,2049.597916624658,2048.9444689807137,2045.432141060852,2044.3066576184551,2042.412483275105,2042.4289923301885
2020-01-14,2031.6277216190192,2037.4051275298484,2035.618411358063,2032.6248703212616,2033.5011416329176,2032.4322612097237,2031.9205651157843,2032.4104586819,2032.7525700770602
2020-01-15,3032.458232769395,3039.087043654327,3038.4487090435455,3037.033695249194,3037.2084714832154,3035.3923306167203,3034.0579512322192,3033.543259391256,3034.233626926937
2020-01-16,3061.5213056117755,3080.7442888243113,3073.7999414634915,3072.118658563776,3069.3001138434747,3065.9311494859476,3063.300387418736,3062.772065215247,3063.4783704160072
2020-01-17,3076.670442711628,3099.0072637267303,3091.6903930228596,3093.2059419045563,3089.821218402515,3085.8444429205497,3083.9027712868087,3081.887136323443,3081.0901524352876
2020-01-21,3075.2936259120625,3094.4713963999743,3090.8315695610504,3095.224520696761,3090.31170189769,3086.469949353984,3084.3944360168566,3082.0602340433556,3080.5033060124674
2020-01-22,4083.4194675376875,4107.243413730024,4088.7977679424343,4102.429749827155,4093.762586255223,4092.110058691309,4091.12807807646,4090.2639571665495,4088.798670799516
2020-01-23,4096.552432088991,4127.595531105998,4097.278546213051,4104.301687088198,4105.10417108809,4107.001262983376,4104.736284171283,4102.952789060618,4101.268298471095
2020-01-24,4062.079449285581,4106.296627567145,4062.870388003173,4087.6173201581832,4085.7433199598745,4085.1770819646867,4080.1738046599557,4071.250035721746,4069.6199817204174
2020-01-27,3978.174285433764,4008.3173814790493,3976.5821759471783,3998.3238734141028,3996.9262258037465,3995.0523698903485,3991.9387526580495,3984.0924839388213,3984.4427620354495
2020-01-28,4039.2793123354268,4084.524583288581,4054.661136550071,4067.6795646097225,4066.5536980934176,4061.3510930510024,4057.0343929521573,4047.227478791584,4046.736744314481
2020-01-29,5045.84420280675,5088.625136366081,5113.274648306997,5102.819403311873,5094.06313322748,5081.674082247452,5075.555792202272,5057.744253782643,5055.027514281827
2020-01-30,5063.816816719508,5129.273571668421,5120.519497205159,5115.80947454042,5109.331530495454,5094.208315375731,5094.831927130732,5078.493678277677,5076.080729465662
2020-01-31,4983.513970727644,4991.228308353561,5076.952085643902,5053.466282775228,5039.294551428185,5025.31718078231,5025.508031893342,5002.957608223871,4998.035183180471
2020-02-03,5058.8118306873275,5053.869089501745,5129.889172034537,5109.673404837679,5099.436368002283,5086.056683470409,5101.5179816099035,5080.511320965707,5075.378037149731
2020-02-04,5174.602575981501,5186.02416279663,5252.308987679109,5207.771393860125,5201.465895095374,5187.155299278637,5211.971126949854,5194.825002287181,5190.484679814477
2020-02-05,6191.663781432463,6210.569186034228,6258.774684231833,6227.960127797128,6225.820925370671,6214.953177070268,6223.631205159823,6213.470630423256,6207.013432756625
2020-02-06,6245.109964420504,6260.422147586648,6339.3780114493675,6299.063034421705,6290.451311875928,6274.341512262944,6283.267312554317,6270.355117127902,6262.232373681721
2020-02-07,6218.251917601553,6201.908984908552,6341.329436610581,6294.5907003084985,6282.980035371219,6262.267016564097,6267.920835759597,6251.467977015134,6237.774899991687
2020-02-10,6293.401155331852,6279.1440537504495,6448.669150127791,6390.640488276942,6378.775836520069,6351.589138747205,6355.566830908919,6333.701242091553,6318.286536171084
2020-02-11,6294.486394164866,6267.677850133395,6388.244082085534,6354.398153060307,6350.461834108751,6328.4975684042,6333.739442153047,6329.004618829226,6314.147862133192
